parent_layer,child_layer,parent_node_id,child_node_id,js_distance,weight_edge,alpha,eta_used,parent_doc_count,child_doc_count
0,1,0,204,0.6708032734928038,4.0,1.0,0.05,970.0,4.0
0,1,0,4214,0.6676022171034893,12.0,1.0,0.05,970.0,12.0
0,1,0,17877,0.6530093332907912,4.0,1.0,0.05,970.0,4.0
0,1,0,19056,0.6438280602646275,5.0,1.0,0.05,970.0,5.0
0,1,0,572,0.6620606988986296,12.0,1.0,0.05,970.0,12.0
0,1,0,21693,0.653656199380215,8.0,1.0,0.05,970.0,8.0
0,1,0,17657,0.6621674920761296,4.0,1.0,0.05,970.0,4.0
0,1,0,1353,0.6921496594581277,9.0,1.0,0.05,970.0,9.0
0,1,0,8871,0.659485790436997,5.0,1.0,0.05,970.0,5.0
0,1,0,11797,0.6606386345453158,3.0,1.0,0.05,970.0,3.0
0,1,0,11906,0.6552875671571805,6.0,1.0,0.05,970.0,6.0
0,1,0,18308,0.6564497840016581,6.0,1.0,0.05,970.0,6.0
0,1,0,10121,0.6755358431299685,9.0,1.0,0.05,970.0,9.0
0,1,0,18491,0.6582430123585268,4.0,1.0,0.05,970.0,4.0
0,1,0,22632,0.652209175130778,3.0,1.0,0.05,970.0,3.0
0,1,0,1788,0.6629341568403591,4.0,1.0,0.05,970.0,4.0
0,1,0,16202,0.6322672103342187,3.0,1.0,0.05,970.0,3.0
0,1,0,7740,0.6592436949122321,3.0,1.0,0.05,970.0,3.0
0,1,0,18429,0.6507538692235619,970.0,1.0,0.05,970.0,1.0
0,1,0,22838,0.6534125043786521,970.0,1.0,0.05,970.0,1.0
0,1,0,22848,0.6176283645251813,2.0,1.0,0.05,970.0,2.0
1,2,1,2,0.7239993295756999,45.0,1.0,0.05,398.0,45.0
1,2,1,23,0.7030525919028586,10.0,1.0,0.05,398.0,10.0
1,2,1,117,0.6873514015465639,7.0,1.0,0.05,398.0,7.0
1,2,1,200,0.6913258622393713,5.0,1.0,0.05,398.0,5.0
1,2,1,361,0.7032991042547886,8.0,1.0,0.05,398.0,8.0
1,2,1,455,0.6949642957177574,4.0,1.0,0.05,398.0,4.0
1,2,1,593,0.738112588699943,16.0,1.0,0.05,398.0,16.0
1,2,1,717,0.6921813040128835,5.0,1.0,0.05,398.0,5.0
1,2,1,801,0.7140441972978689,9.0,1.0,0.05,398.0,9.0
1,2,1,1412,0.7123281341092244,7.0,1.0,0.05,398.0,7.0
1,2,1,1503,0.7374575246627966,7.0,1.0,0.05,398.0,7.0
1,2,1,2550,0.7139795964989266,5.0,1.0,0.05,398.0,5.0
1,2,1,2863,0.7026016941903354,4.0,1.0,0.05,398.0,4.0
1,2,1,2904,0.7069347937355227,5.0,1.0,0.05,398.0,5.0
1,2,1,3091,0.7029696866282504,4.0,1.0,0.05,398.0,4.0
1,2,1,4008,0.6889717102775915,4.0,1.0,0.05,398.0,4.0
1,2,1,4114,0.7119610417903075,7.0,1.0,0.05,398.0,7.0
1,2,1,5847,0.7240656021590892,7.0,1.0,0.05,398.0,7.0
1,2,1,5970,0.6741072405845963,3.0,1.0,0.05,398.0,3.0
1,2,1,7387,0.7212989364705659,9.0,1.0,0.05,398.0,9.0
1,2,1,7401,0.6928919828650042,5.0,1.0,0.05,398.0,5.0
1,2,1,7786,0.719340955030815,10.0,1.0,0.05,398.0,10.0
1,2,1,8181,0.689134610695037,4.0,1.0,0.05,398.0,4.0
1,2,1,8699,0.6943163606344789,4.0,1.0,0.05,398.0,4.0
1,2,1,9472,0.6744847136008468,6.0,1.0,0.05,398.0,6.0
1,2,1,9790,0.6703427053217291,6.0,1.0,0.05,398.0,6.0
1,2,1,9907,0.7151677510770102,8.0,1.0,0.05,398.0,8.0
1,2,1,10777,0.7018538363489701,4.0,1.0,0.05,398.0,4.0
1,2,1,12334,0.6752660220928045,5.0,1.0,0.05,398.0,5.0
1,2,1,14437,0.6799188475539188,8.0,1.0,0.05,398.0,8.0
1,2,1,15613,0.7040857038642212,5.0,1.0,0.05,398.0,5.0
1,2,1,16104,0.7106977848933116,6.0,1.0,0.05,398.0,6.0
