parent_layer,child_layer,parent_node_id,child_node_id,js_distance,parent_doc_count,child_doc_count,alpha,eta_used
1,2,1,22027,0.6819039964761446,398,3,1.0,0.05
1,2,1,22170,0.6895454519159574,398,7,1.0,0.05
1,2,1,22368,0.6864803324831706,398,3,1.0,0.05
1,2,1,22394,0.6882780064289297,398,3,1.0,0.05
1,2,1,22464,0.679085350936459,398,2,1.0,0.05
1,2,1,22505,0.6807599076625821,398,3,1.0,0.05
1,2,1,22513,0.6839494231352266,398,3,1.0,0.05
1,2,1,22617,0.6885764458729691,398,3,1.0,0.05
1,2,1,22648,0.6832924806299167,398,2,1.0,0.05
1,2,1,22663,0.6992242892948753,398,4,1.0,0.05
1,2,1,22670,0.6850790948545562,398,2,1.0,0.05
1,2,1,22692,0.6845926164176378,398,3,1.0,0.05
1,2,1,22694,0.6858692013267684,398,3,1.0,0.05
1,2,1,22719,0.6863513190510787,398,2,1.0,0.05
1,2,1,22722,0.6999538277179357,398,3,1.0,0.05
1,2,1,22726,0.6879908507177658,398,3,1.0,0.05
1,2,1,22742,0.660401801134325,398,2,1.0,0.05
1,2,1,22757,0.6979843821053163,398,6,1.0,0.05
1,2,1,22771,0.6749514249961848,398,2,1.0,0.05
1,2,1,22777,0.651426791393706,398,1,1.0,0.05
1,2,1,22801,0.6689249503223885,398,1,1.0,0.05
1,2,1,22822,0.6622027689383372,398,1,1.0,0.05
1,2,1,22828,0.6762437300619457,398,1,1.0,0.05
1,2,1,22832,0.6698242973760767,398,1,1.0,0.05
1,2,4784,14318,0.6394815913384396,8,8,1.0,0.05
1,2,4214,21138,0.6262501752176481,12,4,1.0,0.05
1,2,4214,21746,0.6144362207369597,12,3,1.0,0.05
1,2,4214,22716,0.581054437269553,12,2,1.0,0.05
1,2,4214,22810,0.6232084808527502,12,1,1.0,0.05
1,2,4214,22819,0.5523708466770488,12,1,1.0,0.05
1,2,4214,22837,0.5929461329166249,12,1,1.0,0.05
1,2,7160,8765,0.5769078106550458,9,6,1.0,0.05
1,2,7160,21575,0.5708207539526406,9,2,1.0,0.05
1,2,7160,22803,0.5415687648408697,9,1,1.0,0.05
1,2,582,583,0.6527087193747715,18,7,1.0,0.05
1,2,582,968,0.652589324083826,18,10,1.0,0.05
1,2,582,22805,0.5657462071566912,18,1,1.0,0.05
1,2,41,3240,0.643837937790891,14,9,1.0,0.05
1,2,41,20644,0.6126794026497706,14,5,1.0,0.05
1,2,13,15932,0.6500161453054798,13,8,1.0,0.05
1,2,13,22746,0.5963882885720533,13,1,1.0,0.05
1,2,13,22780,0.5596029441506095,13,1,1.0,0.05
1,2,13,22808,0.5403061623921334,13,2,1.0,0.05
1,2,13,22834,0.6008782966767994,13,1,1.0,0.05
1,2,3232,17650,0.6118532085060093,6,6,1.0,0.05
1,2,5,1231,0.6620842322634545,20,10,1.0,0.05
1,2,5,21671,0.608330303451646,20,5,1.0,0.05
1,2,5,22358,0.6088080486929458,20,3,1.0,0.05
1,2,5,22687,0.5934268618302406,20,2,1.0,0.05
1,2,34,5900,0.6322608775486817,18,6,1.0,0.05
1,2,34,21393,0.6018159080357851,18,5,1.0,0.05
1,2,34,22054,0.6243951415118059,18,3,1.0,0.05
1,2,34,22774,0.5246661018555353,18,1,1.0,0.05
1,2,34,22787,0.5792699720393021,18,1,1.0,0.05
1,2,34,22814,0.5678969810052056,18,1,1.0,0.05
1,2,34,22840,0.530870259254183,18,1,1.0,0.05
1,2,165,5817,0.6456322021950583,18,5,1.0,0.05
1,2,165,8426,0.655704588481058,18,7,1.0,0.05
1,2,165,22220,0.6319107061236833,18,3,1.0,0.05
1,2,165,22735,0.596681850952665,18,2,1.0,0.05
1,2,165,22846,0.5803620406814145,18,1,1.0,0.05
1,2,1788,22743,0.5895738090320073,4,4,1.0,0.05
1,2,572,21769,0.634377837336418,12,4,1.0,0.05
1,2,572,22613,0.6111210073013325,12,2,1.0,0.05
1,2,572,22730,0.6276375561849057,12,3,1.0,0.05
1,2,572,22790,0.5919949741881216,12,3,1.0,0.05
1,2,2835,3083,0.6538181482417246,21,5,1.0,0.05
1,2,2835,7061,0.6339162992889055,21,3,1.0,0.05
1,2,2835,16252,0.673289816274481,21,6,1.0,0.05
1,2,2835,19533,0.6325491497723417,21,2,1.0,0.05
1,2,2835,22717,0.6060421732354664,21,3,1.0,0.05
1,2,2835,22795,0.6044085699239301,21,1,1.0,0.05
1,2,2835,22851,0.5834361979088227,21,1,1.0,0.05
1,2,736,19823,0.6560002465209572,15,5,1.0,0.05
1,2,736,21927,0.591553217641686,15,2,1.0,0.05
1,2,736,22654,0.6476745317231395,15,4,1.0,0.05
1,2,736,22682,0.5767646965165151,15,4,1.0,0.05
1,2,81,10757,0.6454587119440894,7,5,1.0,0.05
1,2,81,22794,0.5940485075780411,7,1,1.0,0.05
1,2,81,22853,0.5864855485317073,7,1,1.0,0.05
1,2,2741,2742,0.6257209355071321,24,6,1.0,0.05
1,2,2741,8486,0.6615214630238915,24,6,1.0,0.05
1,2,2741,21699,0.6399840745709543,24,3,1.0,0.05
1,2,2741,22289,0.6098673248007557,24,2,1.0,0.05
1,2,2741,22329,0.6298836536306108,24,3,1.0,0.05
1,2,2741,22607,0.6189214482381696,24,3,1.0,0.05
1,2,2741,22798,0.6277594610728267,24,1,1.0,0.05
1,2,8506,20770,0.6131383246007136,10,6,1.0,0.05
