Gamma,Alpha,Eta,Run_Index,Live_Topics,LL_per_word,Weighted_NPMI,Weighted_Cv,Unweighted_NPMI,Unweighted_Cv,Perplexity,Weighted_Renyi_Entropy,JSD_Diversity,Iterations,Converged,Time_sec
0.1,0.1,5,4,2,-6.635326464,0.010992164,0.464658894,-0.177528176,0.49320038,761.5276365,5.956397507,0.794230745,1060,Yes,8.590588331
0.1,0.1,5,5,2,-6.638080264,0.01023286,0.464005299,-0.177528176,0.49320038,763.6276216,5.959320152,0.781166507,1060,Yes,8.920784473
0.1,0.5,0.01,1,3,-6.698235709,0.006302656,0.458820721,-0.28074283,0.477582135,810.9737681,5.69520301,0.747328875,1140,Yes,9.385796785
0.1,0.5,0.01,2,7,-6.69905485,0.005952169,0.460259044,-0.114245821,0.476908587,811.6383427,5.669859667,0.936580769,1270,Yes,11.1447556
0.1,0.5,0.01,3,9,-6.690031534,0.015805185,0.485883469,-0.113737757,0.497998411,804.3476159,5.643442154,0.944989981,1090,Yes,9.995192528
0.1,0.5,0.01,4,8,-6.696643102,0.005776325,0.459632184,-0.212993588,0.447553776,809.6832339,5.654194686,0.879132101,1110,Yes,10.07067752
0.1,0.5,0.01,5,11,-6.664681271,0.010626058,0.476543282,-0.115747693,0.406710013,784.2134735,5.603186277,0.942109593,1400,Yes,13.14002061
0.1,0.5,0.05,1,5,-6.642735386,0.008814029,0.463070317,-0.17462832,0.486185178,767.1906884,5.695364461,0.882478589,1210,Yes,10.33376431
0.1,0.5,0.05,2,4,-6.64821093,0.006552636,0.461003441,-0.23221099,0.451708452,771.4029966,5.686309733,0.865553638,1100,Yes,9.321866751
0.1,0.5,0.05,3,7,-6.641037168,0.02064611,0.484672028,-0.123868785,0.469574419,765.8889366,5.672784347,0.911020174,1080,Yes,9.539662361
0.1,0.5,0.05,4,7,-6.648610529,0.004306585,0.456532038,-0.138634819,0.449060363,771.7113099,5.672532402,0.929886279,1090,Yes,9.791806936
0.1,0.5,0.05,5,7,-6.650815314,0.018612159,0.484496913,-0.098925579,0.491878471,773.4146442,5.650343362,0.94825906,1060,Yes,9.060824871
0.1,0.5,0.1,1,4,-6.62694571,0.009116496,0.462858771,-0.126500944,0.487755235,755.1721298,5.704787317,0.911561573,1060,Yes,8.836516142
0.1,0.5,0.1,2,5,-6.633083906,0.007851724,0.461506705,-0.012462437,0.391635246,759.82178,5.690129845,0.868777614,1060,Yes,9.274146557
0.1,0.5,0.1,3,5,-6.619100849,0.019866028,0.484310255,-0.099106352,0.491555298,749.271086,5.68289745,0.917202863,1080,Yes,9.224928617
0.1,0.5,0.1,4,6,-6.622489095,0.006427718,0.461405213,-0.165202729,0.444624369,751.814107,5.696153258,0.914946449,1090,Yes,9.491872311
0.1,0.5,0.1,5,6,-6.62585374,0.019383987,0.487098923,-0.109317761,0.464071478,754.3479546,5.667588462,0.921587676,1100,Yes,9.998486996
0.1,0.5,0.5,1,4,-6.594497098,0.011709135,0.477420485,-0.122384712,0.538969121,731.0611424,5.72928297,0.868288442,1100,Yes,9.33432889
0.1,0.5,0.5,2,3,-6.596468019,0.02048805,0.482111879,-0.126514232,0.473043554,732.5034265,5.729064355,0.798709429,1060,Yes,8.900909901
0.1,0.5,0.5,3,4,-6.577496804,0.016163073,0.48079185,-0.151446755,0.463004042,718.737934,5.711996381,0.779478021,1100,Yes,9.176313877
0.1,0.5,0.5,4,4,-6.569679452,0.013834315,0.48175871,-0.119869108,0.497534962,713.1412104,5.700073062,0.854223629,1120,Yes,9.426897287
0.1,0.5,0.5,5,4,-6.590874495,0.011406133,0.473417281,-0.152448704,0.421345526,728.4175886,5.714041083,0.902632121,1070,Yes,9.182119608
0.1,0.5,1,1,3,-6.592300234,0.009148148,0.462650751,-0.161847881,0.424413963,729.4568629,5.767238886,0.831995615,1060,Yes,8.309251785
0.1,0.5,1,2,3,-6.594661767,0.007755295,0.46138858,-0.168949391,0.423019404,731.1815353,5.758823388,0.830210484,1060,Yes,8.471921921
0.1,0.5,1,3,3,-6.581451031,0.021516523,0.485862536,-0.098618976,0.4625949,721.5856134,5.747843222,0.861622423,1070,Yes,8.734556675
0.1,0.5,1,4,3,-6.588615821,0.012557758,0.485666678,-0.133308612,0.494672497,726.7741875,5.753168759,0.810109791,1060,Yes,8.538022995
0.1,0.5,1,5,3,-6.590784191,0.007785585,0.475166665,-0.184804316,0.483889797,728.3518127,5.749266832,0.841751334,1070,Yes,8.532965183
0.1,0.5,2,1,2,-6.597138409,0.009793738,0.46362731,-0.270691643,0.508415145,732.9946544,5.813075628,0.725602037,1100,Yes,9.245988369
0.1,0.5,2,2,3,-6.601925026,0.009118966,0.462779295,-0.149078009,0.437289048,736.5116294,5.810255924,0.867296173,1060,Yes,8.44404912
0.1,0.5,2,3,3,-6.59598646,0.021319844,0.485443344,-0.142489465,0.44200495,732.1507683,5.801838969,0.884618466,1080,Yes,8.462167501
0.1,0.5,2,4,2,-6.59556014,0.009815634,0.463646158,-0.270691643,0.508415145,731.8387042,5.816789839,0.72510257,1060,Yes,8.032473803
0.1,0.5,2,5,3,-6.593820505,0.010737935,0.475448007,-0.148801367,0.452874067,730.5666785,5.798805918,0.864566919,1060,Yes,7.926028013
0.1,0.5,5,1,2,-6.637278762,0.01133252,0.464951866,-0.177528176,0.49320038,763.0158178,5.960611846,0.772542862,1060,Yes,9.004057646
0.1,0.5,5,2,2,-6.640981127,0.013866144,0.478487435,-0.174528906,0.503676066,765.8460165,5.952384534,0.784849957,1060,Yes,8.910556793
0.1,0.5,5,3,2,-6.631722586,0.010778758,0.475774139,0.010728051,0.475765508,758.7881232,5.945830451,0.358544102,1060,Yes,8.887057066
0.1,0.5,5,4,2,-6.637241608,0.013694983,0.485484834,-0.175024319,0.508734687,762.9874689,5.951240626,0.785330311,1060,Yes,8.606559992
0.1,0.5,5,5,2,-6.634698682,0.019194575,0.482774801,-0.170533165,0.506502141,761.0497136,5.944535999,0.786218428,1060,Yes,8.799534798
0.1,1,0.01,1,8,-6.716981253,0.016891969,0.467595635,-0.094512519,0.424635206,826.3192935,5.665508272,0.968961229,1060,Yes,9.914529085
0.1,1,0.01,2,10,-6.699517949,0.014693467,0.486858201,-0.117066921,0.450292396,812.0142987,5.671322731,0.935853881,1280,Yes,11.45858312
0.1,1,0.01,3,9,-6.712692451,0.004210606,0.4573118,-0.114492024,0.413102312,822.7829626,5.648676045,0.966611993,1170,Yes,10.86449742
0.1,1,0.01,4,12,-6.713341694,0.011503324,0.465101505,-0.135462072,0.525489663,823.3173223,5.678216483,0.92060245,1550,Yes,14.14970875
0.1,1,0.01,5,6,-6.713669809,0.011198383,0.472456579,-0.174957874,0.404355604,823.587509,5.681590428,0.917876175,1330,Yes,10.76042414
0.1,1,0.05,1,6,-6.655417434,0.015306038,0.485549981,-0.157517362,0.416883386,776.9821944,5.690553081,0.906132989,1130,Yes,9.74812746
0.1,1,0.05,2,8,-6.661133,0.00833217,0.475981641,0.000727822,0.531592214,781.4358026,5.707821134,0.91289481,1090,Yes,9.091954708
0.1,1,0.05,3,6,-6.665967384,0.003950195,0.459119634,-0.121247699,0.491817481,785.2227094,5.671837064,0.940479829,1160,Yes,10.34391642
0.1,1,0.05,4,12,-6.671272454,0.011337544,0.466975217,-0.101956578,0.43126504,789.3994401,5.673435291,0.945634537,1340,Yes,12.68615603
0.1,1,0.05,5,6,-6.661872112,0.016131351,0.463034986,-0.11810483,0.480128621,782.0135849,5.699422078,0.896124983,1360,Yes,10.63627386
0.1,1,0.1,1,7,-6.639414926,0.015521853,0.480571849,-0.110215619,0.418843406,764.647487,5.67384221,0.936246184,1120,Yes,9.72344327
0.1,1,0.1,2,9,-6.636381669,0.014941982,0.484013474,-0.057044082,0.446031755,762.3316286,5.714484867,0.927918186,1120,Yes,9.799661875
0.1,1,0.1,3,10,-6.614332184,0.012944612,0.477007621,-0.060664724,0.46581902,745.7065692,5.62635567,0.918325541,1080,Yes,9.933497906
0.1,1,0.1,4,9,-6.626188003,0.009555364,0.462236634,-0.112920497,0.462854054,754.6001478,5.678245965,0.925556606,1070,Yes,10.1812849
