Converged,Yes,,,,,,,
Unweighted_NPMI,(全部),,,,,,,
,,,,,,,,
K,Alpha,Eta,平均值项:Weighted_NPMI,平均值项:Weighted_Cv,平均值项:Unweighted_NPMI,平均值项:Perplexity,平均值项:JSD_Diversity,平均值项:Weighted_Renyi_Entropy
,1,,0.032115419,0.51473045,-0.204383571,1130.658833,0.703362493,4.662639499
,,0.01,0.035115114,0.500387613,0.038750321,1095.576766,0.973061607,3.177148257
,,0.1,0.046513819,0.531005183,0.029315295,1222.073941,0.965132361,4.122744071
,,0.5,0.045185,0.537197693,-0.258565762,1190.1338,0.755499741,5.066682281
,,1,0.018631361,0.49296361,-0.420510895,1144.430632,0.408540483,5.465383649
,,2,0.011114482,0.510067052,-0.45814474,994.9808008,0.334119184,5.75160135
,5,,0.026328695,0.504325033,-0.211471399,1129.141643,0.738141592,4.716898626
,,0.01,0.030659685,0.491731572,0.034880821,1134.074219,0.972134155,3.164817464
,,0.1,0.042437796,0.521208712,0.024135053,1243.634395,0.964053176,4.12109368
,,0.5,0.039868463,0.537025479,-0.292014824,1191.842932,0.730445213,5.117775233
,,1,0.01998979,0.493915423,-0.40093605,1136.590712,0.488189702,5.541440941
,,2,0.004103647,0.490824159,-0.455639367,964.6464706,0.532807164,5.799716454
,10,,-0.005664382,0.490912848,-0.238692024,1112.414784,0.709895169,4.849110827
,,0.01,0.032697434,0.495058292,0.037121451,1126.49838,0.973091509,3.138039585
,,0.1,0.041012357,0.516898799,0.023686912,1244.9081,0.964239575,4.117236773
,,0.5,0.018987323,0.500776432,-0.287334438,1217.652285,0.772569791,5.194670287
,,1,0.020585735,0.492034421,-0.416128761,1135.466267,0.444519639,5.491627037
,,2,-0.12733907,0.456966202,-0.508057978,885.0950526,0.458459137,6.226717534
,20,,-0.033635097,0.469338567,-0.260681661,1141.355466,0.688882281,5.050335076
,,0.01,0.031081017,0.498290264,0.034029456,1113.713213,0.973557043,3.160112654
,,0.1,0.043119737,0.526363102,0.027317427,1229.138326,0.963834895,4.129384645
,,0.5,0.016350482,0.50209943,-0.284405588,1226.348688,0.792965252,5.232938019
,,1,-0.156178844,0.362375759,-0.513875035,1279.224009,0.394023278,6.300322012
,,2,-0.079607541,0.469906792,-0.512277127,869.8232868,0.397782485,6.087394152
总计,,,0.024592719,0.509679632,-0.175420816,1132.81973,0.762562619,4.802761039
