Gamma,Alpha,Eta,Run_Index,Live_Topics,LL_per_word,Weighted_NPMI,Weighted_Cv,Unweighted_NPMI,Unweighted_Cv,Perplexity,Weighted_Renyi_Entropy,JSD_Diversity,Iterations,Converged,Time_sec
0.1,0.05,0.01,3,4,-6.674270487309412,0.0180280834974864,0.46851716045096,-0.1420052780957182,0.4922598819894976,791.7696371404506,5.693007157589757,0.8640539359284868,1060,Yes,9.45215129852295
0.1,0.05,0.01,2,4,-6.676768351984552,0.0175390298265917,0.4673056139874518,-0.1775065290030054,0.4313861186523248,793.7498426610256,5.693345435311032,0.8592827810789629,1060,Yes,8.564957618713379
0.1,0.05,0.01,4,3,-6.676140317931258,0.0157337249185395,0.4856832423454256,-0.2550463874991918,0.4570262540546187,793.2514972353671,5.694881297701666,0.831344586442245,1060,Yes,9.327426671981812
0.1,0.05,0.05,4,3,-6.621666228199106,0.0215977306552,0.4861140705295024,-0.1922354917712787,0.5089616442362341,751.1957184013577,5.69822671780853,0.7917300095213401,1060,Yes,9.52208375930786
0.1,0.05,0.05,2,6,-6.624866135727146,0.0204335473930901,0.4847967677832019,-0.0787175082848132,0.3880984886785982,753.6033252409546,5.687137241746237,0.9368313374894236,1190,Yes,11.093788385391235
0.1,0.05,0.05,3,4,-6.621180137710264,0.0182384342591966,0.4682176434368822,-0.1373256646693646,0.4751380381542455,750.8306580407569,5.698298382556067,0.8523225975435292,1060,Yes,9.26091766357422
0.1,0.05,0.1,2,4,-6.603904436171001,0.0216502311474628,0.4657954546460893,-0.1376224702911139,0.4102602665052766,737.9709319115267,5.69882772489495,0.8897946072048913,1060,Yes,9.254425287246704
0.1,0.05,0.1,3,6,-6.602240354317411,0.021056991392261,0.4861051201879464,-0.052735803358422,0.4543801150281613,736.7439090916132,5.693456646881427,0.902714045499184,1060,Yes,9.685406684875488
0.1,0.05,0.1,5,4,-6.6165646578311605,0.0208162082924253,0.4652096016255327,0.0055858635181688,0.5249090958569829,747.3731992993344,5.745062459439319,0.7923982042650431,1060,Yes,8.618481159210205
0.1,0.05,0.5,2,2,-6.576575558680418,0.0212358335202928,0.4862724545954036,-0.2642723362694149,0.5199036533419998,718.076104588993,5.725501571413751,0.7254192987569977,1060,Yes,8.756516933441162
0.1,0.05,0.5,3,3,-6.577227664225156,0.0208104121271149,0.4858872512092336,-0.1335894670057504,0.4806306111719101,718.5445187094627,5.7276459797965344,0.8470445490085678,1060,Yes,8.55592131614685
0.1,0.05,0.5,5,3,-6.554558407850258,0.0156035003720888,0.4763244530924047,-0.2620326079560182,0.5096527776064818,702.4388898243839,5.696036335948521,0.7030084156114235,1060,Yes,8.967201709747314
0.1,0.05,1.0,4,2,-6.574318926011297,0.0213764160246008,0.4860887918270647,-0.1689690998858558,0.5085183912452095,716.4574975800708,5.753716983549778,0.7763860505820152,1060,Yes,9.1271710395813
0.1,0.05,1.0,1,3,-6.577013855914176,0.0213633615270377,0.48606241103826,-0.1889315896661295,0.4808878077612691,718.3909043421527,5.747917244279189,0.8149630776740124,1060,Yes,9.257017612457275
0.1,0.05,1.0,2,2,-6.576235835247164,0.021292388359866,0.4861985690258579,-0.2642723362694149,0.5199036533419998,717.832198742016,5.750295090355452,0.7222065807066635,1060,Yes,8.757799625396729
0.1,0.05,2.0,4,2,-6.587797261125875,0.0214558376766282,0.4859850321128017,-0.1689690998858558,0.5085183912452095,726.1795230068683,5.811012587921194,0.7754487803515309,1060,Yes,9.20596432685852
0.1,0.05,2.0,2,2,-6.588676663319903,0.0130418477336145,0.4784830032828317,-0.1745289058991491,0.5036760656421779,726.8184077498082,5.798936043594882,0.778882917271952,1070,Yes,9.13677740097046
0.1,0.05,2.0,3,2,-6.585956246584945,0.0129982896150621,0.4784827690979131,-0.1745289058991491,0.5036760656421779,724.8438458235,5.798150580820484,0.7862072111718591,1060,Yes,9.281356811523438
0.1,0.05,5.0,4,2,-6.630530935849804,0.0215692971795244,0.4858368039495689,-0.1689690998858558,0.5085183912452096,757.8844518651022,5.944143998337922,0.7790849717117174,1060,Yes,8.902000665664673
0.1,0.05,5.0,1,2,-6.631428745688669,0.0214390232353648,0.4860069991907515,-0.1689690998858558,0.5085183912452096,758.5651935252625,5.946092312507011,0.7784265696922429,1060,Yes,9.004714488983154
0.1,0.05,5.0,2,2,-6.63150132849973,0.0210331430203364,0.4848290949766964,-0.1693427792953485,0.5078759569260703,758.620254317591,5.946801076124652,0.7855645616532595,1060,Yes,9.303326606750488
0.1,0.1,0.01,1,5,-6.680175886249416,0.0209150977823663,0.4856252415195186,-0.0617930361634099,0.4747653081538592,796.4591859160319,5.681893649494613,0.9294922975951334,1060,Yes,9.35008978843689
0.1,0.1,0.01,4,4,-6.675859544527885,0.0175362533121494,0.4673920896518957,-0.2234467259287287,0.4534562861084193,793.0288045773079,5.690267258195327,0.8061100453827609,1060,Yes,9.624653100967407
0.1,0.1,0.01,3,5,-6.657527471951307,0.0103831213728502,0.4933404261446986,-0.0859246494251934,0.4652568064519958,778.6233869842107,5.744568621460281,0.9563633709173184,1060,Yes,9.355126142501833
0.1,0.1,0.05,1,4,-6.627362537959901,0.0207854749337504,0.4863859327643333,-0.0930802372961669,0.5428094084289619,755.4869724570116,5.686756997705652,0.8954339451950675,1060,Yes,9.555421352386476
0.1,0.1,0.05,3,5,-6.624093743918287,0.0201624734962712,0.4854130790414299,-0.0972448534834215,0.4366422356064621,753.0214729433114,5.690954305662598,0.8779414836564975,1060,Yes,9.211572408676147
0.1,0.1,0.05,4,6,-6.623065166277987,0.0168819000437053,0.4677275346878901,-0.0236362130010746,0.4822837241021413,752.2473300948402,5.687418987194746,0.8931852695399872,1060,Yes,9.640970706939695
0.1,0.1,0.1,4,7,-6.577093069574962,0.0229634563898051,0.4892592693147585,-0.0497167546944345,0.5040428772856185,718.4478129695018,5.661536177808008,0.9132107686990808,1100,Yes,9.970991849899292
0.1,0.1,0.1,1,5,-6.610864062248685,0.0203578035626234,0.484592803444679,-0.0106060316167625,0.3593158754283759,743.1248475134695,5.69814641720316,0.8930556011766443,1060,Yes,8.716663122177124
0.1,0.1,0.1,3,4,-6.607007994895984,0.0201860753108932,0.4850656137949061,-0.1294950179907588,0.436598895004332,740.2648258120125,5.699473745496575,0.8903554966606864,1090,Yes,8.923570156097412
0.1,0.1,0.5,4,3,-6.578780355731398,0.020629098346667,0.484263869278011,-0.1482092533780733,0.4522575621824843,719.6610632808372,5.725626760215264,0.8455505245722329,1060,Yes,8.596718311309814
