parent_layer,child_layer,parent_node_id,child_node_id,js_distance,parent_doc_count,child_doc_count,alpha,eta_used
0,1,0,425,0.656498966323599,970,4,1.0,0.05
0,1,0,9769,0.6550667465625865,970,5,1.0,0.05
0,1,0,6638,0.6806271417626921,970,6,1.0,0.05
0,1,0,15888,0.6729040499116058,970,5,1.0,0.05
0,1,0,400,0.671099616953532,970,4,1.0,0.05
0,1,0,22153,0.6426322305764598,970,6,1.0,0.05
0,1,0,35,0.6546630182582899,970,7,1.0,0.05
0,1,0,20407,0.6625676075259666,970,5,1.0,0.05
0,1,0,22027,0.6581816907386548,970,6,1.0,0.05
0,1,0,22798,0.6277951661896798,970,2,1.0,0.05
0,1,0,10714,0.6489645790287926,970,5,1.0,0.05
0,1,0,22859,0.6336142046233569,970,3,1.0,0.05
0,1,0,864,0.6550304160459337,970,4,1.0,0.05
1,2,1,2,0.7401440514027745,474,32,1.0,0.05
1,2,1,246,0.7199846554563619,474,8,1.0,0.05
1,2,1,262,0.6944596205097823,474,7,1.0,0.05
1,2,1,311,0.7251450368434648,474,5,1.0,0.05
1,2,1,353,0.6716304433693558,474,7,1.0,0.05
1,2,1,745,0.7225150810736498,474,8,1.0,0.05
1,2,1,855,0.6959823671746319,474,7,1.0,0.05
1,2,1,908,0.7145610391801996,474,11,1.0,0.05
1,2,1,1142,0.6824425290027665,474,4,1.0,0.05
1,2,1,1147,0.7166005748761989,474,12,1.0,0.05
1,2,1,1232,0.7097305250630133,474,6,1.0,0.05
1,2,1,1259,0.7269993270863259,474,8,1.0,0.05
1,2,1,1285,0.7120672492865263,474,9,1.0,0.05
1,2,1,1414,0.6910271919287341,474,4,1.0,0.05
1,2,1,1522,0.7004743917717827,474,5,1.0,0.05
1,2,1,1561,0.717436338069285,474,14,1.0,0.05
1,2,1,1767,0.7104246583043444,474,14,1.0,0.05
1,2,1,1780,0.7042284558830921,474,9,1.0,0.05
1,2,1,2551,0.6870880659121895,474,10,1.0,0.05
1,2,1,2899,0.6801083184835366,474,11,1.0,0.05
1,2,1,3240,0.696349713427211,474,6,1.0,0.05
1,2,1,3300,0.7150476867827821,474,5,1.0,0.05
1,2,1,3513,0.6899074172360056,474,16,1.0,0.05
1,2,1,4527,0.7047367876422692,474,4,1.0,0.05
1,2,1,4563,0.7201044364405328,474,6,1.0,0.05
1,2,1,4745,0.7217762991575957,474,7,1.0,0.05
1,2,1,5802,0.700528152043054,474,8,1.0,0.05
1,2,1,5904,0.6869088364223642,474,5,1.0,0.05
1,2,1,7471,0.7071782447318432,474,6,1.0,0.05
1,2,1,8529,0.7057495009676892,474,5,1.0,0.05
1,2,1,9133,0.7087221252327429,474,8,1.0,0.05
1,2,1,9734,0.7119364152506311,474,9,1.0,0.05
1,2,1,10526,0.7039904909984657,474,6,1.0,0.05
1,2,1,14921,0.6946548146035976,474,5,1.0,0.05
1,2,1,17302,0.7014074596842708,474,4,1.0,0.05
1,2,1,17747,0.6985323196386045,474,4,1.0,0.05
1,2,1,18030,0.7126192631998918,474,2,1.0,0.05
1,2,1,18992,0.7174180969562782,474,9,1.0,0.05
1,2,1,19604,0.693337332521538,474,7,1.0,0.05
1,2,1,19721,0.6783889799499855,474,2,1.0,0.05
1,2,1,19751,0.7222438357246423,474,8,1.0,0.05
1,2,1,19858,0.6823040985186504,474,5,1.0,0.05
1,2,1,19986,0.6840460096169758,474,4,1.0,0.05
1,2,1,20012,0.6549029664009514,474,6,1.0,0.05
1,2,1,20120,0.7173382995209844,474,6,1.0,0.05
1,2,1,20288,0.713671060887914,474,5,1.0,0.05
1,2,1,20354,0.6882468699377691,474,3,1.0,0.05
1,2,1,20446,0.6946828037128812,474,6,1.0,0.05
1,2,1,20476,0.684418268795431,474,3,1.0,0.05
1,2,1,20572,0.6944559853560935,474,4,1.0,0.05
1,2,1,20860,0.7009308366693815,474,3,1.0,0.05
1,2,1,20887,0.6852223070520873,474,2,1.0,0.05
1,2,1,21146,0.725830077400079,474,6,1.0,0.05
1,2,1,21302,0.7163253547933391,474,4,1.0,0.05
1,2,1,21310,0.6938123927405558,474,4,1.0,0.05
1,2,1,21386,0.6772339842101472,474,4,1.0,0.05
1,2,1,21440,0.6864774832513596,474,4,1.0,0.05
1,2,1,21456,0.6758766089791745,474,3,1.0,0.05
1,2,1,21713,0.6993821997443412,474,3,1.0,0.05
1,2,1,21752,0.6874466800858485,474,3,1.0,0.05
1,2,1,21768,0.7223508753128418,474,4,1.0,0.05
1,2,1,21872,0.7009319476112571,474,4,1.0,0.05
