node_id,renyi_entropy_corrected,nonzero_word_count,total_vocabulary_size,sparsity_ratio,eta_prior,renyi_alpha,iteration,document_count,layer,parent_id,child_ids,child_count
8741,5.480222343456775,62,1490,0.0416107382550335,0.1,2.0,500,7,1,0.0,[9563],1
8744,5.561120183798397,56,1490,0.0375838926174496,0.1,2.0,500,10,1,0.0,"[9075,9750,9789]",3
8776,5.147216434459608,74,1490,0.0496644295302013,0.1,2.0,500,3,2,228.0,,0
8812,4.901027612084606,92,1490,0.061744966442953,0.1,2.0,500,4,2,1.0,,0
8813,5.182382526702123,110,1490,0.0738255033557047,0.1,2.0,500,7,2,1.0,,0
8814,4.891703312340186,48,1490,0.0322147651006711,0.1,2.0,500,3,1,0.0,[9446],1
8959,5.347665722191633,111,1490,0.074496644295302,0.1,2.0,500,9,2,496.0,,0
8989,5.326213661564026,91,1490,0.0610738255033557,0.1,2.0,500,3,2,278.0,,0
9075,5.247040331397765,51,1490,0.034228187919463,0.1,2.0,500,3,2,8744.0,,0
9086,5.330661950609592,84,1490,0.0563758389261744,0.1,2.0,500,4,2,198.0,,0
9133,5.021147115506048,70,1490,0.046979865771812,0.1,2.0,500,5,2,1.0,,0
9137,7.306531398939504,0,1490,0.0,0.1,2.0,500,2,2,4412.0,,0
9218,6.178630671848544,32,1490,0.021476510067114,0.1,2.0,500,3,1,0.0,[9692],1
9250,5.5729712161197815,103,1490,0.0691275167785235,0.1,2.0,500,6,1,0.0,"[9364,9786]",2
9269,5.010478348025018,119,1490,0.0798657718120805,0.1,2.0,500,9,2,7594.0,,0
9278,5.195160212129159,108,1490,0.07248322147651,0.1,2.0,500,4,2,6687.0,,0
9301,5.021711619296524,71,1490,0.0476510067114094,0.1,2.0,500,3,2,5590.0,,0
9322,5.419169043699936,83,1490,0.0557046979865771,0.1,2.0,500,6,1,0.0,"[9416,9769,9783]",3
9333,4.817602081707373,82,1490,0.0550335570469798,0.1,2.0,500,3,2,1347.0,,0
9334,5.3766393333235065,94,1490,0.0630872483221476,0.1,2.0,500,6,2,163.0,,0
9364,5.546137905574686,31,1490,0.0208053691275167,0.1,2.0,500,2,2,9250.0,,0
9378,5.956867383003292,28,1490,0.0187919463087248,0.1,2.0,500,1,2,1.0,,0
