depth,gamma,eta,alpha,layer,node_id,parent_id,entropy,doc_count,unique_words,total_words,path
3,0.05,0.05,0.2,1,19270,,3.711125063061255,17,491,200,
3,0.05,0.05,0.2,1,33562,,2.851151044742883,5,220,45,
3,0.05,0.05,0.2,1,1650,,3.7460378679538846,6,254,120,
3,0.05,0.05,0.2,1,30279,,3.7122119335038426,3,154,115,
3,0.05,0.05,0.2,1,4972,,3.728452963178445,15,473,252,
3,0.05,0.05,0.2,1,25191,,3.867127685520254,7,293,140,
3,0.05,0.05,0.2,1,9249,,3.5627459723602146,8,242,79,
3,0.05,0.05,0.2,1,931,,3.699587468386409,21,498,260,
3,0.05,0.05,0.2,1,11236,,3.700210771280575,8,240,107,
3,0.05,0.05,0.2,1,736,,3.552982544353418,14,398,151,
3,0.05,0.05,0.2,1,624,,3.900386940798362,10,371,142,
3,0.05,0.05,0.2,1,81,,3.58995938677712,3,122,135,
3,0.05,0.05,0.2,1,2835,,3.5414121200604463,9,284,94,
3,0.05,0.05,0.2,1,26442,,3.6392443384789406,2,109,65,
3,0.05,0.05,0.2,1,79,,3.89536056453304,12,356,254,
3,0.05,0.05,0.2,1,20742,,3.6397346597629605,13,378,178,
3,0.05,0.05,0.2,1,204,,3.7090878938991003,10,352,179,
3,0.05,0.05,0.2,1,209,,3.98601404141109,8,294,123,
3,0.05,0.05,0.2,1,1265,,3.4199263667684323,5,200,64,
3,0.05,0.05,0.2,1,26644,,3.515120356405595,11,367,161,
3,0.05,0.05,0.2,1,8292,,3.7013019741124924,6,229,126,
3,0.05,0.05,0.2,1,33216,,2.9833178704056094,4,158,39,
3,0.05,0.05,0.2,1,5370,,3.5386148597320886,13,378,215,
3,0.05,0.05,0.2,1,28111,,3.583518938456111,9,259,60,
3,0.05,0.05,0.2,1,26991,,3.604396523477666,7,238,132,
3,0.05,0.05,0.2,1,33393,,3.2856844945403108,2,85,42,
3,0.05,0.05,0.2,1,22968,,3.8808591891322997,7,290,153,
3,0.05,0.05,0.2,1,33646,,3.02031350896543,2,120,67,
3,0.05,0.05,0.2,1,23746,,3.465987887178028,6,245,126,
3,0.05,0.05,0.2,1,30448,,3.210461073302724,6,224,112,
3,0.05,0.05,0.2,1,21239,,2.400739550610627,2,98,65,
3,0.05,0.05,0.2,1,31421,,2.9755295662364714,4,145,28,
3,0.05,0.05,0.2,1,32148,,3.333394278310792,5,220,58,
3,0.05,0.05,0.2,1,18708,,3.136684692260225,4,189,41,
3,0.05,0.05,0.2,1,33700,,2.560686473563784,2,87,53,
3,0.05,0.05,0.2,2,33232,,3.843546566295584,7,287,237,
3,0.05,0.05,0.2,2,33558,,3.9216870834501876,4,181,321,
3,0.05,0.05,0.2,2,33569,,3.2050825027358645,3,157,60,
3,0.05,0.05,0.2,2,32320,,3.242156025344641,5,232,142,
3,0.05,0.05,0.2,2,27702,,4.199705077879928,6,277,240,
3,0.05,0.05,0.2,2,25972,,3.7794604019653346,9,292,186,
3,0.05,0.05,0.2,2,20178,,4.10699824799066,7,285,208,
3,0.05,0.05,0.2,2,33375,,2.694086494084824,5,180,43,
3,0.05,0.05,0.2,2,31038,,3.374404864665579,6,242,154,
3,0.05,0.05,0.2,2,33656,,3.730616361781269,4,181,135,
3,0.05,0.05,0.2,2,33663,,3.4439553890981687,1,91,71,
3,0.05,0.05,0.2,2,117,,4.1453627643090005,7,268,278,
3,0.05,0.05,0.2,2,2,,4.37863271361544,29,658,873,
3,0.05,0.05,0.2,2,7387,,4.32161183072017,11,334,270,
3,0.05,0.05,0.2,2,9912,,3.948978711950577,6,236,168,
3,0.05,0.05,0.2,2,31130,,3.6928874755114744,5,234,200,
3,0.05,0.05,0.2,2,33445,,3.7558956497250167,3,172,95,
