iteration,total_paths,total_documents,log_likelihood,changed_docs_count,newly_created_paths,avg_path_size,max_path_size,min_path_size
80,177,970,-450448.2965081933,256,29,5.480225988700565,186,1
81,173,970,-450753.62249174085,254,33,5.606936416184971,180,1
82,171,970,-451261.7997330342,250,24,5.6725146198830405,178,1
83,167,970,-450690.2358074743,244,26,5.808383233532934,179,1
84,169,970,-450708.3588349081,257,28,5.739644970414201,179,1
85,171,970,-450024.6588388504,252,33,5.6725146198830405,181,1
86,169,970,-449551.39500357915,252,18,5.739644970414201,175,1
87,168,970,-449786.4571359514,250,22,5.773809523809524,177,1
88,166,970,-448935.79309099825,242,21,5.843373493975903,173,1
89,166,970,-450030.67822249053,252,21,5.843373493975903,175,1
90,168,970,-449280.95387262036,243,28,5.773809523809524,175,1
91,167,970,-448347.71065506624,246,25,5.808383233532934,170,1
92,169,970,-449424.94683334697,254,29,5.739644970414201,176,1
93,175,970,-449168.6753195308,247,29,5.542857142857143,178,1
94,173,970,-448801.55757941,248,32,5.606936416184971,164,1
95,170,970,-448002.4993624806,237,20,5.705882352941177,167,1
96,163,970,-448849.6650659807,243,23,5.950920245398773,167,1
97,170,970,-448514.26436777995,237,32,5.705882352941177,166,1
98,174,970,-448172.9345449302,236,29,5.574712643678161,165,1
99,167,970,-448611.3134413046,224,23,5.808383233532934,164,1
100,171,970,-447444.633306883,228,22,5.6725146198830405,157,1
