parent_layer,child_layer,parent_node_id,child_node_id,js_distance,weight_edge,alpha,eta_used,parent_doc_count,child_doc_count
0,1,0,8572,0.6285654388765547,3.0,0.05,0.05,970.0,3.0
0,1,0,7208,0.6165625467397108,2.0,0.05,0.05,970.0,2.0
0,1,0,8349,0.5723047217195385,970.0,0.05,0.05,970.0,1.0
0,1,0,8586,0.6251789964526993,3.0,0.05,0.05,970.0,3.0
0,1,0,6305,0.6131743476729153,970.0,0.05,0.05,970.0,1.0
0,1,0,8186,0.620992158536788,970.0,0.05,0.05,970.0,1.0
1,2,1,2,0.7124150383636823,107.0,0.05,0.05,472.0,107.0
1,2,1,246,0.6970063831709442,9.0,0.05,0.05,472.0,9.0
1,2,1,262,0.6650909573419695,7.0,0.05,0.05,472.0,7.0
1,2,1,311,0.6975167133243688,7.0,0.05,0.05,472.0,7.0
1,2,1,353,0.6823949981801115,12.0,0.05,0.05,472.0,12.0
1,2,1,715,0.6784386679265736,9.0,0.05,0.05,472.0,9.0
1,2,1,745,0.7044741684700083,10.0,0.05,0.05,472.0,10.0
1,2,1,757,0.6526230156548313,8.0,0.05,0.05,472.0,8.0
1,2,1,855,0.6571643229089005,7.0,0.05,0.05,472.0,7.0
1,2,1,908,0.6630031529457714,9.0,0.05,0.05,472.0,9.0
1,2,1,914,0.6532059159871897,3.0,0.05,0.05,472.0,3.0
1,2,1,1082,0.6663442518555069,3.0,0.05,0.05,472.0,3.0
1,2,1,1095,0.6573029241357828,4.0,0.05,0.05,472.0,4.0
1,2,1,1142,0.6391571345783981,5.0,0.05,0.05,472.0,5.0
1,2,1,1147,0.6855157394008041,20.0,0.05,0.05,472.0,20.0
1,2,1,1232,0.6594345683367578,8.0,0.05,0.05,472.0,8.0
1,2,1,1259,0.681543007214875,6.0,0.05,0.05,472.0,6.0
1,2,1,1285,0.6729587209077008,5.0,0.05,0.05,472.0,5.0
1,2,1,1414,0.6834720479065755,6.0,0.05,0.05,472.0,6.0
1,2,1,1522,0.6841666716384258,5.0,0.05,0.05,472.0,5.0
1,2,1,1561,0.7107037961337184,9.0,0.05,0.05,472.0,9.0
1,2,1,1767,0.6957338070301544,13.0,0.05,0.05,472.0,13.0
1,2,1,1780,0.6707078270754071,8.0,0.05,0.05,472.0,8.0
1,2,1,1806,0.6878032952092272,10.0,0.05,0.05,472.0,10.0
1,2,1,2280,0.6681391973353259,5.0,0.05,0.05,472.0,5.0
1,2,1,2551,0.6542142181673299,10.0,0.05,0.05,472.0,10.0
1,2,1,2899,0.6656829541034183,6.0,0.05,0.05,472.0,6.0
1,2,1,3240,0.6718417237781784,7.0,0.05,0.05,472.0,7.0
1,2,1,3300,0.6491661802049141,3.0,0.05,0.05,472.0,3.0
1,2,1,3374,0.6600557323807104,3.0,0.05,0.05,472.0,3.0
1,2,1,3513,0.6879564679691688,8.0,0.05,0.05,472.0,8.0
1,2,1,3912,0.6729476210927992,8.0,0.05,0.05,472.0,8.0
1,2,1,4527,0.6745615698886189,5.0,0.05,0.05,472.0,5.0
1,2,1,4563,0.6646507166486606,4.0,0.05,0.05,472.0,4.0
1,2,1,4745,0.6922421252032299,9.0,0.05,0.05,472.0,9.0
1,2,1,5755,0.6834797400564314,5.0,0.05,0.05,472.0,5.0
1,2,1,5802,0.6658916701383494,6.0,0.05,0.05,472.0,6.0
1,2,1,5904,0.6641744369122821,6.0,0.05,0.05,472.0,6.0
1,2,1,5979,0.6549602768324869,3.0,0.05,0.05,472.0,3.0
1,2,1,6220,0.6646669821313702,3.0,0.05,0.05,472.0,3.0
1,2,1,6252,0.6720182038543558,4.0,0.05,0.05,472.0,4.0
1,2,1,6576,0.6613576297975764,10.0,0.05,0.05,472.0,10.0
1,2,1,6646,0.6525803417790249,3.0,0.05,0.05,472.0,3.0
1,2,1,7251,0.6444768526255882,2.0,0.05,0.05,472.0,2.0
1,2,1,7384,0.6602467256919768,3.0,0.05,0.05,472.0,3.0
1,2,1,7471,0.6743624436436617,6.0,0.05,0.05,472.0,6.0
1,2,1,7737,0.6734525900245245,3.0,0.05,0.05,472.0,3.0
1,2,1,7844,0.6529520596013566,2.0,0.05,0.05,472.0,2.0
1,2,1,7905,0.6593577458721038,6.0,0.05,0.05,472.0,6.0
