parent_layer,child_layer,parent_node_id,child_node_id,js_distance,parent_doc_count,child_doc_count,alpha,eta_used
0,1,0,9163,0.6182702228626851,970,4,0.05,0.05
0,1,0,9133,0.6292243632124365,970,2,0.05,0.05
0,1,0,9249,0.6174753843271372,970,5,0.05,0.05
1,2,1,2,0.6973672102164935,390,90,0.05,0.05
1,2,1,3,0.6756381644578942,390,3,0.05,0.05
1,2,1,23,0.6665180785639634,390,12,0.05,0.05
1,2,1,101,0.7172217330965714,390,9,0.05,0.05
1,2,1,114,0.6509677880190133,390,3,0.05,0.05
1,2,1,117,0.6710311422077557,390,10,0.05,0.05
1,2,1,130,0.685817437698893,390,6,0.05,0.05
1,2,1,135,0.7052338984078133,390,6,0.05,0.05
1,2,1,200,0.6513449497776352,390,6,0.05,0.05
1,2,1,361,0.6759775682925772,390,10,0.05,0.05
1,2,1,455,0.6786334117374868,390,6,0.05,0.05
1,2,1,588,0.680000452951209,390,4,0.05,0.05
1,2,1,593,0.6858123865118392,390,16,0.05,0.05
1,2,1,717,0.6879363014833327,390,6,0.05,0.05
1,2,1,801,0.696286285584347,390,9,0.05,0.05
1,2,1,1412,0.6643387945941569,390,6,0.05,0.05
1,2,1,1503,0.7043361263570588,390,5,0.05,0.05
1,2,1,2166,0.6754900475435577,390,7,0.05,0.05
1,2,1,2550,0.6804409130136567,390,6,0.05,0.05
1,2,1,2863,0.6909388770285798,390,6,0.05,0.05
1,2,1,2904,0.6680325547897308,390,6,0.05,0.05
1,2,1,3091,0.6689503860358051,390,7,0.05,0.05
1,2,1,3108,0.6714923210015182,390,5,0.05,0.05
1,2,1,3327,0.6798469530818192,390,11,0.05,0.05
1,2,1,4008,0.6512182079595221,390,6,0.05,0.05
1,2,1,4114,0.6771390774370474,390,6,0.05,0.05
1,2,1,4202,0.6654119951891255,390,6,0.05,0.05
1,2,1,4481,0.6732463498561118,390,5,0.05,0.05
1,2,1,5199,0.6393647215564852,390,3,0.05,0.05
1,2,1,5277,0.6609563739052784,390,7,0.05,0.05
1,2,1,5847,0.6435535455849779,390,4,0.05,0.05
1,2,1,5970,0.657236613909351,390,4,0.05,0.05
1,2,1,6211,0.6664411075604014,390,5,0.05,0.05
1,2,1,6427,0.680998025691832,390,6,0.05,0.05
1,2,1,7197,0.6471921097976769,390,5,0.05,0.05
1,2,1,7363,0.6600164026313076,390,4,0.05,0.05
1,2,1,7387,0.6686175461589616,390,7,0.05,0.05
1,2,1,7401,0.6731841629529044,390,4,0.05,0.05
1,2,1,7539,0.6491847456792514,390,2,0.05,0.05
1,2,1,7786,0.6464169000591948,390,4,0.05,0.05
1,2,1,8112,0.6522565196840819,390,2,0.05,0.05
1,2,1,8181,0.6373431145030626,390,2,0.05,0.05
1,2,1,8252,0.6588636294054308,390,4,0.05,0.05
1,2,1,8323,0.6592524677791546,390,7,0.05,0.05
1,2,1,8359,0.675128737034119,390,4,0.05,0.05
1,2,1,8420,0.6621435952839752,390,4,0.05,0.05
1,2,1,8568,0.6707108782183306,390,4,0.05,0.05
1,2,1,8641,0.6549842166241321,390,4,0.05,0.05
1,2,1,8699,0.6774608539516838,390,4,0.05,0.05
1,2,1,8809,0.6586572381864603,390,3,0.05,0.05
1,2,1,8861,0.6653946389086649,390,2,0.05,0.05
1,2,1,8885,0.6297611480675271,390,2,0.05,0.05
