depth,gamma,eta,alpha,layer,node_id,parent_id,entropy,doc_count,unique_words,total_words,path
3,0.001,0.1,0.1,1,5384,,3.7456743379151862,7,280,183,
3,0.001,0.1,0.1,1,9565,,3.5882560387403775,5,252,92,
3,0.001,0.1,0.1,1,8476,,1.791759469228055,4,222,6,
3,0.001,0.1,0.1,1,8991,,3.32286553839225,7,290,90,
3,0.001,0.1,0.1,1,3185,,1.791759469228055,8,373,6,
3,0.001,0.1,0.1,1,9639,,3.2310536257919096,6,254,53,
3,0.001,0.1,0.1,1,9751,,0.0,1,87,0,
3,0.001,0.1,0.1,2,573,,4.388001761965548,15,415,449,
3,0.001,0.1,0.1,2,8426,,3.2024820150925253,8,321,55,
3,0.001,0.1,0.1,2,9370,,4.298190621795573,6,252,218,
3,0.001,0.1,0.1,2,4634,,3.773862519762412,4,206,187,
3,0.001,0.1,0.1,2,5537,,3.8712448695952077,5,208,151,
3,0.001,0.1,0.1,2,150,,4.28325101725499,12,378,525,
3,0.001,0.1,0.1,2,179,,4.373665470443139,20,503,485,
3,0.001,0.1,0.1,2,1291,,4.231310586285524,8,307,233,
3,0.001,0.1,0.1,2,9743,,3.0836910688996584,3,143,96,
3,0.001,0.1,0.1,2,8533,,3.9845498054078092,7,348,223,
3,0.001,0.1,0.1,2,9744,,3.157686527523511,2,132,54,
3,0.001,0.1,0.1,2,44,,4.0559695524826,16,521,521,
3,0.001,0.1,0.1,2,5550,,4.39444915467244,8,343,405,
3,0.001,0.1,0.1,2,3827,,4.33759208958568,11,346,241,
3,0.001,0.1,0.1,2,9383,,4.005148983417629,4,233,196,
3,0.001,0.1,0.1,2,9583,,3.3055726869944126,4,154,85,
3,0.001,0.1,0.1,2,1467,,3.969543153650668,6,255,179,
3,0.001,0.1,0.1,2,1589,,3.8744516764206915,13,417,355,
3,0.001,0.1,0.1,2,960,,4.04004567612596,16,447,410,
3,0.001,0.1,0.1,2,9126,,4.269630336056405,6,261,193,
3,0.001,0.1,0.1,2,327,,4.631608166916183,13,444,536,
3,0.001,0.1,0.1,2,7491,,3.841470476749549,6,278,124,
3,0.001,0.1,0.1,2,8814,,3.8812513467613954,8,341,240,
3,0.001,0.1,0.1,2,292,,3.568234678083808,10,276,285,
3,0.001,0.1,0.1,2,9740,,3.664094581550489,3,163,137,
3,0.001,0.1,0.1,2,2,,4.55038185672539,41,790,1464,
3,0.001,0.1,0.1,2,524,,3.9933221278161803,7,273,233,
3,0.001,0.1,0.1,2,2170,,4.6303861673244935,17,497,559,
3,0.001,0.1,0.1,2,70,,4.104862200418481,13,378,442,
3,0.001,0.1,0.1,2,197,,4.660958978442735,15,472,598,
