depth,gamma,eta,alpha,layer,node_id,parent_id,entropy,doc_count,unique_words,total_words,path
3,0.05,0.02,0.1,2,20040,,3.150179293581966,1,80,75,
3,0.05,0.02,0.1,2,17251,,3.8358775081616807,4,202,205,
3,0.05,0.02,0.1,2,20218,,3.188104166201447,1,84,40,
3,0.05,0.02,0.1,2,19725,,2.809875061927729,4,159,77,
3,0.05,0.02,0.1,2,20008,,2.793009852303257,2,82,58,
3,0.05,0.02,0.1,2,19858,,2.5914569335814157,2,81,29,
3,0.05,0.02,0.1,2,14462,,3.349606689502898,3,151,123,
3,0.05,0.02,0.1,2,11988,,3.0159349808715095,4,194,100,
3,0.05,0.02,0.1,2,5085,,3.0344910056402776,6,202,138,
3,0.05,0.02,0.1,2,18856,,2.3952944910983134,2,63,48,
3,0.05,0.02,0.1,2,15463,,3.3502191967777626,3,112,69,
3,0.05,0.02,0.1,2,19140,,2.820236681830436,3,113,35,
3,0.05,0.02,0.1,2,17361,,3.123948410083827,3,134,83,
3,0.05,0.02,0.1,2,20109,,3.5355997510233172,2,137,95,
3,0.05,0.02,0.1,2,7129,,3.910127445554983,6,287,294,
3,0.05,0.02,0.1,2,2201,,3.061012922561456,5,203,139,
3,0.05,0.02,0.1,2,125,,3.3143591498551923,3,110,152,
3,0.05,0.02,0.1,2,20169,,1.97408102602201,2,68,24,
3,0.05,0.02,0.1,2,20052,,2.845187145065563,2,99,71,
3,0.05,0.02,0.1,2,4,,3.344965210765419,7,244,182,
3,0.05,0.02,0.1,2,20104,,3.323928600871344,2,161,95,
3,0.05,0.02,0.1,2,4417,,2.749644098401047,3,136,90,
3,0.05,0.02,0.1,2,8863,,2.7642997464208263,2,83,87,
3,0.05,0.02,0.1,2,16435,,2.6213818184565354,3,164,54,
3,0.05,0.02,0.1,2,20133,,2.932674137586854,1,94,26,
3,0.05,0.02,0.1,2,18871,,3.559024718882957,5,195,142,
3,0.05,0.02,0.1,2,250,,3.319249306629071,6,238,165,
3,0.05,0.02,0.1,2,20189,,3.0514333152632713,1,93,66,
3,0.05,0.02,0.1,2,20114,,3.5489542476969635,2,127,191,
3,0.05,0.02,0.1,2,20136,,2.9234116119743643,3,103,40,
3,0.05,0.02,0.1,2,1214,,2.7983072515277705,5,217,128,
3,0.05,0.02,0.1,2,19706,,3.036325670519244,2,100,54,
3,0.05,0.02,0.1,2,18078,,3.364465372393425,4,204,84,
3,0.05,0.02,0.1,2,452,,3.109759939990079,6,209,122,
3,0.05,0.02,0.1,2,20219,,2.6460018019680698,1,63,34,
3,0.05,0.02,0.1,2,20220,,3.003838861086981,1,49,51,
3,0.05,0.02,0.1,2,631,,3.1087866368338757,13,366,221,
3,0.05,0.02,0.1,2,16020,,2.852631429913317,2,97,52,
3,0.05,0.02,0.1,2,1874,,3.300906207410562,9,275,246,
