gamma,experiment_type,run_id,parent_id,parent_layer,child_id,child_layer,layer_transition,js_distance,parent_doc_count,child_doc_count
0.005,single,1,0.0,0.0,4391.0,1.0,0->1,0.6072355071455101,970.0,1.0
0.005,single,1,4391.0,1.0,4392.0,2.0,1->2,0.1997124087558077,1.0,1.0
0.005,single,1,4392.0,2.0,4393.0,3.0,2->3,0.0,1.0,1.0
0.005,single,1,2733.0,2.0,4396.0,3.0,2->3,0.4575397473206732,10.0,1.0
0.005,single,1,24.0,1.0,4397.0,2.0,1->2,0.5218916492279044,26.0,2.0
0.005,single,1,4397.0,2.0,4398.0,3.0,2->3,0.3785159748735854,2.0,2.0
0.005,single,1,1070.0,1.0,4399.0,2.0,1->2,0.4014617045210277,12.0,5.0
0.005,single,1,0.0,0.0,4402.0,1.0,0->1,0.5929665117857545,970.0,4.0
0.005,single,1,4402.0,1.0,4403.0,2.0,1->2,0.0,4.0,1.0
0.005,single,1,1553.0,2.0,4408.0,3.0,2->3,0.3340756377958374,5.0,2.0
0.005,single,1,25.0,2.0,4414.0,3.0,2->3,0.4543414461558389,4.0,4.0
0.005,single,1,1.0,1.0,4418.0,2.0,1->2,0.6259607242962926,782.0,5.0
0.005,single,1,4418.0,2.0,4419.0,3.0,2->3,0.4721247824641016,5.0,5.0
0.005,single,1,4399.0,2.0,4422.0,3.0,2->3,0.3909908803718045,5.0,1.0
0.005,single,1,3874.0,2.0,4423.0,3.0,2->3,0.3526203029492259,4.0,1.0
0.005,single,1,894.0,1.0,4425.0,2.0,1->2,0.4495833589308824,12.0,3.0
0.005,single,1,2.0,2.0,4429.0,3.0,2->3,0.5747721482287008,502.0,4.0
0.005,single,1,3928.0,2.0,4436.0,3.0,2->3,0.3912212936691913,3.0,1.0
0.005,single,1,3450.0,1.0,4438.0,2.0,1->2,0.2068243978880512,6.0,1.0
0.005,single,1,4355.0,2.0,4440.0,3.0,2->3,0.4332603434325995,5.0,5.0
0.005,single,1,4309.0,1.0,4444.0,2.0,1->2,0.4985607990023847,10.0,6.0
0.005,single,1,4215.0,2.0,4449.0,3.0,2->3,0.4517774985651184,11.0,2.0
0.005,single,1,660.0,2.0,4456.0,3.0,2->3,0.5456956611024426,33.0,4.0
0.005,single,1,1553.0,2.0,4458.0,3.0,2->3,0.3862733619828811,5.0,3.0
0.005,single,1,1030.0,2.0,4464.0,3.0,2->3,0.5468264667893408,23.0,3.0
0.005,single,1,4425.0,2.0,4465.0,3.0,2->3,0.3905821275775064,3.0,3.0
0.005,single,1,4.0,2.0,4466.0,3.0,2->3,0.5090327546653667,34.0,4.0
0.005,single,1,4438.0,2.0,4470.0,3.0,2->3,0.3151129341969864,1.0,1.0
0.005,single,1,69.0,2.0,4471.0,3.0,2->3,0.5272155342737599,9.0,5.0
0.005,single,1,4374.0,2.0,4472.0,3.0,2->3,0.3983455699652755,4.0,3.0
0.005,single,1,4275.0,2.0,4475.0,3.0,2->3,0.4597718952100211,4.0,4.0
0.005,single,1,4222.0,1.0,4477.0,2.0,1->2,0.4159392624334241,8.0,3.0
0.005,single,1,4477.0,2.0,4478.0,3.0,2->3,0.2560626018206801,3.0,3.0
0.005,single,1,3997.0,2.0,4484.0,3.0,2->3,0.3716040803478563,2.0,2.0
0.005,single,1,317.0,1.0,4485.0,2.0,1->2,0.4456444632874372,15.0,4.0
0.005,single,1,4403.0,2.0,4487.0,3.0,2->3,0.3449949320376583,1.0,1.0
0.005,single,1,4170.0,2.0,4490.0,3.0,2->3,0.4765297822394597,4.0,3.0
0.005,single,1,4399.0,2.0,4493.0,3.0,2->3,0.4022661356316804,5.0,3.0
0.005,single,1,894.0,1.0,4499.0,2.0,1->2,0.3970672205109782,12.0,2.0
0.005,single,1,4499.0,2.0,4500.0,3.0,2->3,0.3700279027980943,2.0,2.0
0.005,single,1,4.0,2.0,4501.0,3.0,2->3,0.5130997121201768,34.0,3.0
0.005,single,1,1409.0,2.0,4502.0,3.0,2->3,0.3788537539437406,16.0,2.0
0.005,single,1,2357.0,2.0,4503.0,3.0,2->3,0.37477698778712,3.0,3.0
0.005,single,1,3874.0,2.0,4504.0,3.0,2->3,0.3526203029492259,4.0,1.0
0.005,single,1,317.0,1.0,4506.0,2.0,1->2,0.3659463018586332,15.0,1.0
0.005,single,1,4506.0,2.0,4507.0,3.0,2->3,0.2089924230091613,1.0,1.0
0.005,single,1,3928.0,2.0,4508.0,3.0,2->3,0.2765827885474439,3.0,2.0
0.005,single,1,4.0,2.0,4509.0,3.0,2->3,0.4623269859434928,34.0,2.0
0.005,single,1,4022.0,2.0,4510.0,3.0,2->3,0.4287980189893767,8.0,3.0
0.005,single,1,4212.0,2.0,4513.0,3.0,2->3,0.5030861841561904,7.0,5.0
0.005,single,1,1339.0,2.0,4514.0,3.0,2->3,0.445220909913173,8.0,2.0
0.005,single,1,3302.0,2.0,4517.0,3.0,2->3,0.4985710201932902,11.0,2.0
0.005,single,1,0.0,0.0,4518.0,1.0,0->1,0.600906631315057,970.0,1.0
0.005,single,1,4518.0,1.0,4519.0,2.0,1->2,0.1406448889691803,1.0,1.0
0.005,single,1,4519.0,2.0,4520.0,3.0,2->3,0.2799757685739069,1.0,1.0
0.005,single,1,1030.0,2.0,4521.0,3.0,2->3,0.4639723010444813,23.0,1.0
0.005,single,1,4444.0,2.0,4522.0,3.0,2->3,0.4709951656680755,6.0,3.0
0.005,single,1,4309.0,1.0,4524.0,2.0,1->2,0.4033784428741138,10.0,4.0
0.005,single,1,4524.0,2.0,4525.0,3.0,2->3,0.4847905998691363,4.0,4.0
0.005,single,1,4485.0,2.0,4526.0,3.0,2->3,0.4715339910141575,4.0,4.0
0.005,single,1,3164.0,2.0,4527.0,3.0,2->3,0.3636849186691898,5.0,1.0
0.005,single,1,4215.0,2.0,4528.0,3.0,2->3,0.4511673578856461,11.0,2.0
0.005,single,1,2805.0,2.0,4529.0,3.0,2->3,0.4138528275350194,8.0,2.0
0.005,single,1,4402.0,1.0,4530.0,2.0,1->2,0.2737941681477636,4.0,3.0
